Year,Title,Director,MPAA,Runtime,J,E,R,K,S
1976,1900,Bernardo Bertolucci,R,318,0,0,0,0,0
2004,2046,Kar Wai Wong,R,129,0,0,0,1,1
1957,12 Angry Men,Sidney Lumet,NR,96,0,1,1,0,1
1997,12 Angry Men,William Friedkin,PG-13,117,0,0,1,0,0
1995,12 Monkeys,Terry Gilliam,R,129,1,1,1,1,1
1998,20 Dates,Myles Berkowitz,R,87,1,0,1,0,1
1968,2001: A Space Odyssey,Stanley Kubrick,G,139,1,1,1,1,1
2003,21 Grams,Alejandro González Iñárritu,R,125,1,1,1,1,1
2002,24 Hour Party People,Michael Winterbottom,R,117,0,0,0,0,0
2002,25th Hour,Spike Lee,R,135,1,1,1,1,1
2002,28 Days Later...,Danny Boyle,R,113,1,1,1,1,1
1935,"39 Steps, The",Alfred Hitchcock,NR,86,0,1,1,0,1
1997,4 Little Girls,Spike Lee,NR,102,0,0,0,0,1
2005,"40 Year Old Virgin, The",Judd Apatow,R,116,1,1,1,1,1
1959,"400 Blows, The",François Truffaut,NR,94,0,0,0,0,1
1963,8 1/2,Federico Fellini,NR,135,0,0,1,0,1
2002,8 Mile,Curtis Hanson,R,110,1,0,0,1,1
1964,A Hard Day's Night,Richard Lester,G,87,0,0,0,0,0
1997,A Life Less Ordinary,Danny Boyle,R,103,0,0,1,1,0
1966,A Man for All Seasons,Fred Zinneman,G,120,0,0,0,0,0
1984,A Nightmare on Elm Street,Wes Craven,R,91,0,0,0,1,1
1986,A Room with a View,James Ivory,NR,117,0,0,0,0,0
2004,A Very Long Engagement,Jean-Pierre Jeunet,R,134,0,0,0,1,1
2002,About Schmidt,Alexander Payne,R,125,1,1,1,1,1
1989,"Abyss, The",James Cameron,PG-13,171,1,1,0,0,1
1949,Adam's Rib,George Cukor,NR,101,0,0,1,0,1
2002,Adaptation,Spike Jonze,R,114,1,1,1,1,1
1988,"Adventures of Baron Munchausen, The",Terry Gilliam,PG,125,1,1,1,1,1
1938,"Adventures of Robin Hood, The",Michael Curtiz,NR,102,0,0,0,1,0
1997,Affliction,Paul Schrader,R,114,0,0,1,0,1
1951,"African Queen, The",John Huston,NR,105,0,0,0,0,0
1973,Aguirre the Wrath of God,Werner Herzog,NR,100,0,0,1,1,1
2001,AI: Artificial Intelligence,Steven Spielberg,PG-13,146,1,1,1,1,1
1980,Airplane!,Jim Abrahams,PG,88,1,1,1,1,1
1988,Akira,Katsuhiro Otomo,R,124,1,0,1,1,1
1938,Aleksandr Nevsky,Sergei M. Eisenstein,NR,112,0,0,0,0,0
1974,Alice Doesn't Live Here Anymore,Martin Scorsese,PG,112,0,0,0,0,1
1951,Alice in Wonderland,Clyde Geronomi,G,75,1,1,1,1,1
1979,Alien,Ridley Scott,R,117,1,1,1,1,1
1986,Aliens,James Cameron,R,154,1,1,1,1,1
1950,All About Eve,Joseph L. Mankiewicz,NR,138,0,0,1,0,1
1999,All About My Mother,Pedro Almodóvar,R,101,1,0,1,0,1
1930,All Quiet on the Western Front,Lewis Milestone,NR,131,1,1,1,1,1
1949,All The King's Men,Robert Rossen,NR,109,0,0,0,0,0
1976,All the President's Men,Alan J. Pakula,R,138,1,1,1,1,1
2003,All the Real Girls,David Gordon Green,R,108,0,1,1,0,1
2000,Almost Famous,Cameron Crowe,R,122,1,1,1,1,1
1989,Always,Steven Spielberg,PG,106,0,1,0,0,1
1984,Amadeus,Milos Foreman,PG,158,1,1,0,1,1
1974,Amarcord,Federico Fellini,R,127,0,0,1,0,1
1963,America America,Elia Kazan,NR,174,0,0,0,0,0
1999,American Beauty,Sam Mendes,R,121,1,1,1,1,1
1973,American Graffiti,George Lucas,PG,110,1,1,1,1,1
1998,American History X,Tony Kaye,R,110,1,1,1,1,1
1951,"American in Paris, An",Vincent Minelli,NR,113,0,0,0,0,1
1999,American Pie,Paul Weitz,R,95,1,1,1,1,1
